Text,Label
Đoạn cuối 2 người bên nhau thêm nhạc nền nữa mê thật xem mà cảm nhận được niềm hạnh phúc được bên nhau sau khi trải qua mọi thăng trầm làm mọi cách để được gặp nhau xem đoạn cuối mấy lần không muốn thoát luôn..,1
"Tiếc thật, đến tận bây giờ mới biết bộ phim này, phim rất hay rất nhiều cảm xúc và tôi cũng đã khóc",1
Cười muốn chết luôn á,0
Hài thật rồi chưa bao giờ thấy con rối buồn cười lắm,0
2/9/2022 phim hay chỉ tiết cập diễn phụ. Rất cảm động,3
Cười bể bụng luôn,0
Đúng thật là cảm động mà. Nam mô A Di Đà Phật,1
"Phim kinh dị gây ức chế, nhà ma thì cho mồi lửa",4
"Bộ phim rất hay, tình cảm nhẹ nhàng, sâu lắng tuổi xế chiều của ông bà lão. Cảm ơn bạn đã review bộ phim tình cảm thật hay nhé",3
"Bảo sao không hay do phim viết kịch bản ức chế vl. lúc cần không đánh đứng xem, lúc k cần đánh thì đánh",4
Cười bây nóc nhà luôn,0
Tuy mình chưa mất ông nội nhưng khi xem bộ phim này mình cũng đã rơi nước mắt. Thực là rất cảm động,1
Sợ ma nhưng vẫn thích xem phim ma ảo thật,2
"Phim này rất hay và cảm động ạ, mình cũng phải xa ông bà nội được mấy ngày thôi nên cũng khóc vì nhớ họ",1
Muốn rụng tim huhu!,2
siêu hài,0
"Bộ phim ý nghĩa về tình cảm gia đình. Cảm động từ đầu đến cuối, vai của 2 người cháu đạt quá ạ",1
Coi phim này còn sợ hơn mấy phim chiếu rạp gần đây ,2
Phim cảm động quá chảy hết nước mắt rồi huhuhu,1
Tập 18 xem xúc động ghê luôn. khóc 1 dòng sông!,1
"Mình đã khóc,bộ phim đầy nhân văn tuyệt hay",1
Coi đi coi lại vẫn thấy sợ,2
Kết thúc bộ này giống bộ kính song thành vì người mình yêu mà hy sinh buồn quá,1
hay lại cảm động nữa,1
trời ơi phanh mổ gì phải che che đi chứ. ám ảnh quá,2
"phim hay lắm ạ, vừa kịch tính lại vừa hài hước",0
"Có ai xem phim kinh dị mà khóc không chứ, kinh dị gi chứ đau lòng muốn chết vậy !!",2
"Tiếc thật, đến tận bây giờ mới biết bộ phim này, phim rất hay rất nhiều cảm xúc và tôi cũng đã khóc",1
"Phim hay quá, cảm động, tình cảm chân thật. Hai chị đã về chung một mái nhà ở trog phim cũng như ngoài đời thực chúc anh chị trăm năm hạnh phúc",1
"cày lại mấy lần vẫn thấy hay, khóc hết nước mắt",0
"Phim rất hay, khá kinh dị, đánh giá cao",2
khóc một dòng sông,1
coi mà khóc á,1
Bộ phim thực sự rất xúc động,1
phim này ám ảnh quá,2
Phim hay quá coi xong mình muốn khóc luôn,1
hơi khó chịu rồi đó,4
"Xem hay và vui lắm, cười đau bụng.",2
đáng yêu quá,4
"Phim hay, sau bao khó khăn cuối cùng thì họ vẫn đến được với nhau. Một bộ phim nhẹ nhàng, tình cảm",3
"một bộ phim đầy cảm xúc, từ cảm mến, cảm xúc yêu tin tưởng thấu hiểu là sẽ hạnh phúc thôi",3
Có ai hiểu vì sao nó tức giận không ạ,4
ông sát nhân tạo mặt cười cho thằng nhỏ ghê quá coi vào ban đêm chắc ám ảnh luôn,2
cái nụ cười mà ông này tạo cho thằng nhỏ nhìn còn ám ảnh hơn cả bộ phim chính nó,2
"Cảnh cắt chân con vịt đúng ám ảnh, dã man",2
tui thấy lúc mấy đứa trẻ bị bắn rợn ghê ấy!,2
Quá dã man,2
chuyện tình cảm quá,1
Tưởng phim kinh dị chứ ai ngờ đó là phim hài mà mình thấy con búp bê đáng yêu ghê,0
Cười không ngậm được mồm luôn,0
"mấy năm rồi coi lại vẫn sợ, công nhận hay thật.",2
"Phim rất hay, thực sự rất hack não",3
Dù sao cũng dễ thở hơn Dark,4
Ước gì phim này là phim lẻ,4
nice,3
"phim quá dở, nhiều khi lăn quăn quá chả ai hiểu phim nói về gì và đang diễn ra những gì, đồng ý là hack não mà trình làm phim không tới thì cũng chả hay ho gì, tao thấy dark cũng có hay mấy đâu gây sự tò mò là chính",4
Đỉnh vãi,3
Không liên quan nhưng nữ diễn viên đẹp quá,4
Cơ bản là việc ai người đó làm,4
hay,3
xem chán kinh,4
"đã rơi nước mắt 2 lần khi xem phim này, quá hay.",1
Đến những đoạn ko có âm thanh là lại rưng rưng nước mắt.,1
"Thật ra ko nên đặt nặng quá sự tri ấn, trên hết thì phim phải hay",3
Phim không tệ,3
Rác thực sự mà vẫn khen cho được,4
"Diên viên chính quá đỉnh, sẽ cực nổi tiếng nữa trong tương lai.",3
"Wow, 1 bộ phim thật thú vị",3
Phim có chiếu ở Việt Nam không ạ ? ,4
Phim hay,3
Xem sợ phết đấy,2
Phim chán lắm.,4
"Phim xem dở, chán, được cái bà anya khá cuống thì biên kịch cho đi tắm sớm.",4
Xem xong đi ngủ tỉnh dậy thấy vợ ngủ bên cạnh hết hồn,2
Tui cũng sợ ma mà xem để biết chuyện gì xảy ra,3
Rớt tim luôn mà vẫn coi,2
Hôm qua em xem cái này một phát cả đêm không ngủ được,2
Mình sợ ma mà vẫn thích xem,3
đoạn đầu video làm tôi ám ảnh rất nhiều gần đây tui hay bị mất ngủ vì xem xong video này,2
Sợ ma mà vẫn muốn xem chung với bạn,3
Cảm giác nói rất là sợ luôn ý ,2
Dù sợ nhưng phái xem,3
Kinh quá anh ơi em có thể rụng tim,2
ghê mà vẫn thích coi,3
Ôi sợ quá,2
Tối em mất ngủ rồi,2
sợ ma mà vẫn xem phim ma,3
xem đi xem lại vẫn ko chán. Baby đáng yêu quá đi,3
vừa coi phim vừa chải nước miếng,4
Hài vãi ,0
"Phim này có mấy cảnh phải gọi là vô lý, vô lý quá ",4
Phim vừa hay lại vừa hài,0
Coi mà không nhịn được cười,0
Hài quá,0
Phim hay Và vui nha,0
em rất thích những bộ phim hài như thế này,3
phim này hay quá,3
phim rất hay và hài hước,0
Cười muốn nội thương .,0
Phim vui hehe,0
Má ơi cười nghiêng ngả,0
Nghe tới đoạn đòi chơi thú nhún đứng cười không nhặt được mồm,0
tối ngủ nhớ lại mắt cười ,0
đoạn thi hoa hậu cười không nhặt,0
đêm rồi cười bò,0
Con ma hài ghê,0
Phim hay nhức gối luôn a,3
phim hài quá anh em ơi,0
xem mà không nhịn được cười,0
Cười mà muốn đau ruột thừa luôn ấy ,0
tôi xem mà cười sặc cơm,0
Nghe phúc hát thấy ấm âp quá,4
Tôi xem 5 lần rồi mà vẫn cười,0
Cười tới nỗi đau bụng luôn,0
Mắc cười quá haha,0
Tôi xem bộ phim này rồi rất hay,3
coi song rồi nhịn cười không được,0
Hài quá phim hay,0
Cười rơi nước mắt không chịu được,0
mình cười muốn rớt cả hàm,0
phim hài bựa,0
Phim buồn cười quá,0
Cười đau bụng,0
Phim hề hay thật,0
phim hài quá mà ,0
Hài thật sự luôn,0
Cười bò luôn,0
Em xem mà cười từ đầu đến cuối,0
Cái này em coi rồi. Cực hài,0
